r,l,t
33442.570943,663,2.980032
32728.029869,1080,4.121832
69960.500894,677,6.348694
64624.13554,645,7.174236
67503.074246,660,7.93037
69566.016202,558,10.040828
62519.362947,601,10.738835
63778.735203,456,11.324898
75160.603995,525,12.016425
71158.199371,597,14.250316
66706.078063,576,14.947618
69564.189022,531,15.574236
61802.163105,531,16.231459
71537.545735,541,18.517853
50700.683446,448,19.081351
64775.925033,496,19.720461
71769.565649,491,20.307286
50386.204811,529,22.465368
66314.938006,546,23.128858
65136.274851,482,23.72202
64035.811122,527,24.424927
67888.880039,501,26.609655
48625.827427,413,27.13926
62760.546986,465,27.781329
66576.214984,449,28.340804
57043.795062,579,30.511464
58746.461743,459,31.074127
66201.923841,456,31.687579
59904.589827,454,32.283029
54677.896972,423,32.857296
63338.490286,381,34.882287
71351.813991,418,35.414193
64307.71453,419,35.963481
74265.862786,447,36.575076
59659.653504,418,38.61562
56730.71052,401,39.166336
52086.196448,418,39.713443
49498.455922,383,40.231303
47622.755442,408,40.738538
52351.625836,380,41.296792
60384.379006,417,43.393634
64400.040089,412,43.91429
73885.727485,464,44.497679
58000.637216,408,45.072027
65108.956728,433,46.998795
45986.296824,361,47.532337
68666.39782,421,48.127681
57225.876791,412,48.664205
58356.766836,443,49.222508
57415.663649,399,51.416491
53789.222079,431,52.007236
51834.828329,423,52.540791
71164.050622,465,53.148164
66616.960327,408,53.655584
76271.240632,459,55.785902
62974.615634,404,56.286277
53714.312094,390,56.800607
73237.220565,449,57.356754
52047.535477,413,57.896945
59032.031114,431,59.990054
57813.903401,413,60.515148
45561.119375,380,61.023528
69791.458508,444,61.60041
58826.649991,438,62.165336
48545.984393,394,64.402938
52635.999194,388,64.916183
48283.008026,397,65.440984
58869.705899,383,65.966854
52482.017049,367,66.451668
52990.648843,377,68.416954
44566.819367,374,68.997988
51978.053925,387,69.515272
52724.697245,358,69.99026
62958.983789,402,70.54629
73804.56123,394,71.04028
55446.240209,364,72.930351
68521.793962,394,73.478624
49258.984846,366,73.999243
67127.463405,418,74.558228
75828.211712,406,75.069964
54393.064723,340,77.106041
47872.844538,389,77.627887
54351.325663,359,78.113276
54989.150201,391,78.664472
51845.400104,359,79.190438
57312.373318,380,81.0461
57922.95406,335,81.532653
48729.738666,368,82.022911
62681.885864,356,82.522724
63798.169687,386,83.072134
46809.07178,363,83.538681
42536.740182,355,85.663099
45062.9407,357,86.140833
55747.844287,382,86.657724
49036.737,361,87.164738
53333.691947,340,87.607842
49039.294514,341,88.149456
56495.762605,353,90.209356
58944.882019,360,90.671741
53835.386433,377,91.339568
56471.81398,366,91.822033
42725.425037,332,92.296237
45155.175562,329,92.777821
70129.170552,374,94.723005
45935.474986,369,95.265865
61162.239911,342,95.731627
49256.309792,364,96.226865
44138.365601,321,96.657419
54808.142254,359,98.484434
53220.33821,367,99.012794
58107.274349,358,99.510676
42095.394402,348,100.028674
51833.334307,339,100.513243
53070.458422,324,100.963827
46807.134511,356,102.840605
48308.070553,341,103.320638
59406.751575,340,103.839365
45413.56053,340,104.313477
56602.600622,355,104.806715
44342.499169,335,105.290838
63946.822438,372,107.213663
49686.713165,354,107.680243
55823.635406,348,108.190072
55555.503029,355,108.672912
48666.032481,316,109.119385
50958.811228,347,109.60292
48615.647646,347,111.526374
54593.227899,350,112.002467
40791.455676,343,112.474163
59413.941772,335,112.952627
59115.685308,361,113.455057
53550.209811,350,113.932443
42925.452454,337,116.038839
69402.815407,375,116.526666
49953.677194,326,116.990005
59393.408892,318,117.456189
46920.294519,342,117.942717
54523.613275,354,118.436059
45019.853243,347,120.451929
58184.019626,375,120.973526
51833.098981,341,121.451973
47127.744659,343,121.915007
48045.438533,360,122.406972
69995.091444,393,122.956501
41474.165504,356,124.956414
44996.434973,358,125.452257
64575.487416,373,126.014825
61904.123853,383,126.541722
56397.23901,397,127.062874
62536.408558,379,129.304355
56925.76297,367,129.8151
49371.93274,350,130.298401
60992.316615,375,130.860427
45076.298036,370,131.356667
50130.987327,343,131.814259
47540.6016,348,133.687619
40875.06813,353,134.162245
58547.895058,377,134.68154
51249.527769,328,135.148158
45373.235386,337,135.629192
44329.915362,339,136.157146
47385.947947,378,138.2091
57955.125836,398,138.728591
52201.161184,367,139.214913
52502.414166,388,139.73597
64059.712335,391,140.270651
42491.596645,383,142.375071
61749.51323,392,142.87014
49203.08061,399,143.416444
54803.091624,389,143.91767
46122.730154,410,144.437944
52767.516699,393,146.537199
68145.264543,437,147.087568
62068.652018,433,147.634716
64131.924864,417,148.185164
57022.023683,416,148.706341
65572.980427,411,150.774759
64349.839904,433,151.334047
48615.253832,420,151.91504
54363.946571,440,152.465083
