step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
1210 -> 1240,0.4,1_惰行,-0.0 -> -0.0,0.000 -> 0.000,0.0,0.0,0.0,0.0,0.0
1250 -> 1250,0.1,0_加速,14.3 -> 14.3,0.001 -> 0.001,0.0,0.0,0.0,-2.0,-2.0
1260 -> 1260,0.1,1_惰行,14.0 -> 14.0,0.002 -> 0.002,0.0,0.0,0.0,-2.0,-2.0
1270 -> 1280,0.2,0_加速,28.3 -> 42.5,0.003 -> 0.006,0.0,0.0,0.0,-4.0,-4.0
1290 -> 1310,0.3,1_惰行,42.2 -> 41.6,0.009 -> 0.016,0.0,0.0,0.0,-6.0,-6.0
1320 -> 1350,0.4,2_ブレーキ,29.0 -> -1.3,0.019 -> 0.021,1.0,0.0,0.0,-6.0,-5.0
1360 -> 1370,0.2,0_加速,14.3 -> 28.5,0.022 -> 0.023,0.0,0.0,0.0,-4.0,-4.0
1380 -> 1380,0.1,1_惰行,28.2 -> 28.2,0.026 -> 0.026,0.0,0.0,0.0,-2.0,-2.0
1390 -> 1400,0.2,0_加速,42.5 -> 56.7,0.028 -> 0.032,0.0,0.0,0.0,-4.0,-4.0
1410 -> 1410,0.1,1_惰行,56.4 -> 56.4,0.037 -> 0.037,0.0,0.0,0.0,-2.0,-2.0
1420 -> 1430,0.2,0_加速,70.6 -> 84.8,0.042 -> 0.048,0.0,0.0,0.0,-4.0,-4.0
1440 -> 1500,0.7,1_惰行,84.5 -> 82.2,0.054 -> 0.093,0.0,0.0,0.0,-14.0,-14.0
1510 -> 1510,0.1,2_ブレーキ,69.6 -> 69.6,0.098 -> 0.098,0.0,0.0,0.0,-2.0,-2.0
1520 -> 1530,0.2,1_惰行,69.2 -> 68.9,0.104 -> 0.109,0.0,0.0,0.0,-4.0,-4.0
1540 -> 1540,0.1,0_加速,83.1 -> 83.1,0.115 -> 0.115,0.0,0.0,0.0,-2.0,-2.0
1550 -> 1600,0.6,1_惰行,82.7 -> 80.8,0.121 -> 0.153,0.0,0.0,0.0,-12.0,-12.0
1610 -> 1610,0.1,0_加速,95.0 -> 95.0,0.160 -> 0.160,0.0,0.0,0.0,-2.0,-2.0
1620 -> 1960,3.5,1_惰行,94.6 -> 81.4,0.167 -> 0.398,665.6,0.0,0.0,-36.0,612.6
1970 -> 1970,0.1,0_加速,95.5 -> 95.5,0.405 -> 0.405,34.4,-2.0,-0.5,0.0,30.9
1980 -> 2480,5.1,1_惰行,95.1 -> 75.9,0.412 -> 0.741,2019.5,-2.0,0.0,0.0,1966.5
2490 -> 2490,0.1,2_ブレーキ,63.3 -> 63.3,0.746 -> 0.746,26.6,-2.0,0.0,0.0,23.6
2500 -> 2990,5.0,1_惰行,63.0 -> 47.2,0.751 -> 0.959,1276.2,-2.0,0.0,0.0,1224.2
3000 -> 3000,0.1,0_加速,61.5 -> 61.5,0.963 -> 0.963,21.2,-2.0,-0.5,0.0,17.7
3010 -> 3060,0.6,1_惰行,61.1 -> 59.5,0.968 -> 0.991,167.9,-2.0,0.0,0.0,159.9
3070 -> 3070,0.1,0_加速,73.7 -> 73.7,0.997 -> 0.997,26.0,-2.0,-0.5,0.0,22.5
3080 -> 3240,1.7,1_惰行,73.3 -> 67.7,1.002 -> 1.089,556.0,-2.0,0.0,0.0,537.8
3250 -> 3250,0.1,0_加速,81.9 -> 81.9,1.095 -> 1.095,29.1,-2.0,-0.5,0.0,25.7
3260 -> 3260,0.1,1_惰行,81.5 -> 81.5,1.101 -> 1.101,37.8,-2.0,0.0,0.0,34.9
3270 -> 3270,0.1,2_ブレーキ,68.9 -> 68.9,1.107 -> 1.107,28.8,-2.0,0.0,0.0,25.8
3280 -> 3440,1.7,1_惰行,68.6 -> 63.1,1.112 -> 1.194,519.2,-2.0,0.0,0.0,501.5
3450 -> 3450,0.1,0_加速,77.3 -> 77.3,1.199 -> 1.199,27.4,-2.0,-0.5,0.0,23.9
3460 -> 3460,0.1,1_惰行,76.9 -> 76.9,1.205 -> 1.205,35.7,-2.0,0.0,0.0,32.8
3470 -> 3470,0.1,0_加速,91.1 -> 91.1,1.212 -> 1.212,32.7,-2.0,-0.5,0.0,29.3
3480 -> 3530,0.6,1_惰行,90.7 -> 88.8,1.219 -> 1.253,249.8,-2.0,0.0,0.0,242.5
3540 -> 3540,0.1,2_ブレーキ,76.2 -> 76.2,1.260 -> 1.260,31.6,-2.0,0.0,0.0,28.7
3550 -> 3620,0.8,1_惰行,75.8 -> 73.3,1.265 -> 1.306,276.7,-2.0,0.0,0.0,267.8
3630 -> 3630,0.1,0_加速,87.5 -> 87.5,1.312 -> 1.312,31.3,-2.0,-0.5,0.0,27.9
3640 -> 3670,0.4,1_惰行,87.1 -> 85.9,1.319 -> 1.339,160.5,-2.0,0.0,0.0,155.2
3680 -> 3680,0.1,0_加速,100.1 -> 100.1,1.346 -> 1.346,0.0,-2.0,-0.5,-0.0,-3.3
3690 -> 3730,0.5,1_惰行,99.7 -> 98.0,1.354 -> 1.384,229.3,-2.0,0.0,0.0,223.4
3740 -> 3740,0.1,2_ブレーキ,85.4 -> 85.4,1.391 -> 1.391,35.2,-2.0,0.0,0.0,32.4
3750 -> 4080,3.4,1_惰行,85.1 -> 72.9,1.398 -> 1.599,1244.4,-2.0,0.0,0.0,1223.0
4090 -> 4090,0.1,2_ブレーキ,60.3 -> 60.3,1.604 -> 1.604,50.9,-2.0,0.0,0.0,48.6
4100 -> 4120,0.3,1_惰行,59.9 -> 59.3,1.608 -> 1.618,83.0,-2.0,0.0,0.0,80.1
4130 -> 4130,0.1,0_加速,73.5 -> 73.5,1.623 -> 1.623,25.9,-2.0,-0.5,0.0,23.1
4140 -> 4210,0.8,1_惰行,73.1 -> 70.6,1.628 -> 1.667,266.8,-2.0,0.0,0.0,263.7
4220 -> 4220,0.1,0_加速,84.8 -> 84.8,1.673 -> 1.673,30.3,-2.0,-0.5,0.0,27.7
4230 -> 4280,0.6,1_惰行,84.5 -> 82.6,1.680 -> 1.712,232.4,-2.0,0.0,0.0,231.0
4290 -> 4290,0.1,0_加速,96.8 -> 96.8,1.719 -> 1.719,34.9,-2.0,-0.5,0.0,32.6
4300 -> 4340,0.5,1_惰行,96.3 -> 94.7,1.726 -> 1.756,221.6,-2.0,0.0,0.0,221.4
4350 -> 4350,0.1,0_加速,108.9 -> 108.9,1.764 -> 1.764,0.0,-2.0,-0.5,-0.7,-2.7
4360 -> 4360,0.1,1_惰行,108.5 -> 108.5,1.772 -> 1.772,0.0,-2.0,0.0,-0.7,-2.1
4370 -> 4370,0.1,0_加速,122.6 -> 122.6,1.781 -> 1.781,0.0,-2.0,-0.5,-1.7,-3.6
4380 -> 4500,1.3,1_惰行,122.1 -> 116.5,1.791 -> 1.901,0.0,-2.0,0.0,-19.4,-3.8
4510 -> 4510,0.1,2_ブレーキ,103.9 -> 103.9,1.909 -> 1.909,0.0,-2.0,0.0,-0.3,-0.1
4520 -> 4530,0.2,1_惰行,103.5 -> 103.1,1.917 -> 1.925,0.0,-2.0,0.0,-0.5,2.2
4540 -> 4540,0.1,2_ブレーキ,90.5 -> 90.5,1.933 -> 1.933,74.2,-2.0,0.0,0.0,74.8
4550 -> 4610,0.7,1_惰行,90.1 -> 87.7,1.940 -> 1.981,166.1,-2.0,0.0,-3.2,182.7
4620 -> 4620,0.1,2_ブレーキ,75.1 -> 75.1,1.987 -> 1.987,0.0,-2.0,0.0,-1.9,-0.2
4630 -> 4630,0.1,0_加速,89.3 -> 89.3,1.994 -> 1.994,0.0,-4.0,-0.5,-4.4,-5.1
4640 -> 4640,0.1,1_惰行,88.9 -> 88.9,2.001 -> 2.001,0.0,-2.0,0.0,-26.9,-24.9
4650 -> 4650,0.1,1_惰行,88.5 -> 88.5,2.007 -> 2.007,0.0,0.0,0.0,-26.8,-23.0
4660 -> 4660,0.1,2_ブレーキ,75.9 -> 75.9,2.014 -> 2.014,0.0,-2.0,0.0,-25.9,-24.2
4670 -> 4670,0.1,1_惰行,75.6 -> 75.6,2.019 -> 2.019,0.0,-2.0,0.0,-25.8,-24.3
4680 -> 4680,0.1,1_惰行,75.2 -> 75.2,2.025 -> 2.025,0.0,0.0,0.0,-25.8,-22.4
4690 -> 4690,0.1,1_惰行,74.9 -> 74.9,2.031 -> 2.031,0.0,0.0,0.0,-25.8,-22.5
4700 -> 4700,0.1,1_惰行,74.5 -> 74.5,2.037 -> 2.037,0.0,0.0,0.0,-25.7,-22.6
4710 -> 4710,0.1,1_惰行,74.1 -> 74.1,2.043 -> 2.043,0.0,0.0,0.0,-25.7,-22.7
4720 -> 4720,0.1,1_惰行,73.8 -> 73.8,2.048 -> 2.048,0.0,0.0,0.0,-25.7,-22.8
4730 -> 4730,0.1,1_惰行,73.4 -> 73.4,2.054 -> 2.054,0.0,0.0,0.0,-25.7,-26.7
4740 -> 4740,0.1,1_惰行,73.1 -> 73.1,2.060 -> 2.060,0.0,0.0,0.0,-25.6,-26.6
4750 -> 4750,0.1,1_惰行,72.7 -> 72.7,2.065 -> 2.065,0.0,0.0,0.0,-25.6,-26.6
