step,position_km,velocity_kmh,action,tve_reward,tce_penalty,ic_penalty,ef_penalty,sl_penalty,de_bonus,step_total_reward
1210,0.0,-0.02357960119843483,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220,0.0006055492073694182,14.267537498474121,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1230,0.0016956370788779166,14.013047790527343,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1240,0.003382033142689518,28.27082462310791,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1250,0.005551739639039164,27.995565605163574,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1260,0.008316578951294397,42.242452239990236,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1270,0.011563365921457331,41.944176864624026,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1280,0.014787159699502886,41.646416473388676,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1290,0.017987999963615497,41.34917106628418,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1300,0.021165926243332387,41.052437210083006,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1310,0.024320977920213822,40.75621147155762,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1320,0.027453194228509458,40.46049041748047,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1330,0.031179387027908043,54.69670486450195,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1340,0.03600349584745171,68.91961212158203,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1350,0.04130656932639099,68.57102966308594,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1360,0.04720063608885124,82.77981948852539,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1370,0.054190404548849644,96.97298812866211,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1380,0.06165546148171292,96.56249771118165,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1390,0.0690888862567725,96.15298233032227,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1400,0.0771098714295767,110.3303581237793,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1410,0.08622403829698534,124.48984680175782,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1420,0.09580935073557165,124.00967559814454,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1430,0.10535766780917147,123.53079528808594,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1440,0.1154896422936485,137.67257537841797,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1450,0.1267119570751107,151.7942367553711,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1460,0.13840078090464436,151.2361587524414,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1470,0.1500466139548758,150.67975616455078,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1480,0.16164958548148503,150.12501525878906,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1490,0.17383195038869698,164.2279998779297,0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1500,0.186478539507846,163.63153839111328,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
1510,0.19907918550353618,163.03697204589844,1,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0
