#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-32471.381723,681,1.428279
-24827.709966,854,1.935321
-28964.482686,1080,3.221606
-23552.031605,1080,3.827531
-120557.795064,1080,5.152867
-108571.918798,1080,5.766605
-131263.482519,1080,7.157791
-169197.153238,1080,7.77946
-14562.333754,1080,9.18577
-17501.005958,1080,9.798886
-56919.521884,1080,11.215549
-6523.830036,1080,12.496961
-3781.762,1080,13.166914
-4344.030522,1080,14.441824
-71818.868665,1080,15.091736
-3574.982823,1080,16.418779
-40911.378011,1080,17.044142
-18809.8014,1080,18.419737
-4603.730838,1080,19.030953
-12301.421417,1080,20.32952
-20513.952404,1080,20.918437
-163923.05219,1080,22.168523
-18953.410156,1080,22.785102
-48073.351361,1080,24.149341
-36775.622188,1080,24.77131
-52599.395892,1080,26.103745
-48748.156143,1080,26.695566
-36415.811639,1080,28.0672
-34816.688631,1080,28.682512
-2430.447331,1080,30.057634
-367.507462,1080,31.37204
-48941.081659,1080,32.030071
-6361.460818,1080,33.341596
-81580.057646,1080,33.970697
1340.283532,1080,35.38522
-136485.092079,1080,35.977535
-931.768018,1080,37.313521
-1653.826002,1080,37.91753
-138856.395512,1080,39.26332
-3847.084339,1080,39.866696
-113396.735812,1080,41.276273
-32074.447114,1080,41.886948
-5868.046836,1080,43.280577
-41606.848518,1080,43.874682
-3598.774778,1080,45.209243
-112021.756322,1080,45.812807
-31125.331699,1080,47.211898
-7737.992543,1080,48.553055
-5056.631618,1080,49.22646
-65957.957296,1080,50.659425
-40181.65836,1080,51.285828
-30845.535739,1080,52.669659
-5750.04267,1080,53.276082
-58834.037887,1080,54.632546
-988.491898,1080,55.236127
-18258.106885,1080,56.641827
-50887.206801,1080,57.238791
-74374.919139,1080,58.640206
-71508.041911,1080,59.246896
-64403.164387,1080,60.619956
-105895.431867,1080,61.220171
-94532.688995,1080,62.54557
-107527.204274,1080,63.162063
-24592.698472,1080,64.52796
-5457.049198,1080,65.139091
-69279.270641,1080,66.447096
-31449.447173,1080,67.727737
-67796.703106,1080,68.353942
2665.223986,1080,69.706358
-27751.719152,1080,70.332529
-35544.873345,1080,71.689814
-43175.933206,1080,72.300831
-7410.860729,1080,73.649981
-44983.369573,1080,74.246359
-4036.443858,1080,75.583748
-30968.133911,1080,76.194627
184.636394,1080,77.533536
-58992.003542,1080,78.135507
-27533.144887,1080,79.483639
-2389.195358,1080,80.097649
-71279.74097,1080,81.483979
-77348.621239,1080,82.104168
-52947.261199,1080,83.524141
-28903.733229,1080,84.124476
-6322.882748,1080,85.463473
3843.8885,1080,86.821499
-54059.48508,1080,87.478341
-1845.825044,1080,88.766637
1820.199624,1080,89.393704
