segment,tve_reward_max,tve_reward_mean,tve_reward_min,tce_penalty_max,tce_penalty_mean,tce_penalty_min,ic_penalty_max,ic_penalty_mean,ic_penalty_min,ef_penalty_max,ef_penalty_mean,ef_penalty_min,sl_penalty_max,sl_penalty_mean,sl_penalty_min,de_bonus_max,de_bonus_mean,de_bonus_min
0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.43,-5.0,0.0,0.0,0.0
1,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.81,-5.0,0.0,0.0,0.0
2,65.5,12.39,0.0,0.0,-0.1,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,-5.0,0.0,0.0,0.0
3,92.46,75.53,63.45,-0.5,-0.5,-0.5,0.0,-1.43,-5.0,0.0,-0.07,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,100.5,92.14,86.45,-0.5,-0.5,-0.5,0.0,-1.19,-5.0,0.0,-0.05,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,97.01,89.2,73.7,-0.5,-0.5,-0.5,0.0,-1.67,-5.0,0.0,-0.05,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,93.58,79.86,69.94,-0.5,-0.5,-0.5,0.0,-1.9,-5.0,0.0,-0.02,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,69.63,58.47,54.6,-0.5,-0.5,-0.5,0.0,-0.48,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,54.33,48.59,40.7,-0.5,-0.5,-0.5,0.0,-1.19,-5.0,0.0,-0.02,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
9,46.61,41.11,34.76,-0.5,-0.5,-0.5,0.0,-2.38,-10.0,0.0,-0.07,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,74.99,52.65,42.68,-0.5,-0.5,-0.5,0.0,-4.52,-10.0,0.0,-0.14,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,95.12,68.72,46.2,-0.5,-0.5,-0.5,0.0,-4.05,-10.0,0.0,-0.17,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
12,154.95,116.37,14.81,-0.5,-2.4,-20.5,0.0,-2.38,-10.0,0.0,-0.17,-0.5,0.0,-1.25,-13.02,0.35,0.11,0.0
13,16.53,7.98,0.0,-0.5,-6.21,-20.5,0.0,-4.52,-10.0,0.0,0.0,0.0,-21.3,-43.91,-50.0,4.91,1.47,0.0
14,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-1.43,-5.0,0.0,0.0,0.0,-50.0,-50.0,-50.0,0.0,0.0,0.0
15,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,-2.86,-10.0,0.0,-0.07,-0.5,-50.0,-50.0,-50.0,0.0,0.0,0.0
