segment,tve_reward_max,tve_reward_mean,tve_reward_min,tce_penalty_max,tce_penalty_mean,tce_penalty_min,ic_penalty_max,ic_penalty_mean,ic_penalty_min,ef_penalty_max,ef_penalty_mean,ef_penalty_min,sl_penalty_max,sl_penalty_mean,sl_penalty_min,de_bonus_max,de_bonus_mean,de_bonus_min
0,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.4772727272727273,0.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,-5.0,-5.0,-5.0,0.5,0.5,0.5,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.522180905815958,3.6103596523107417,0.0,-0.1,-3.8863636363636362,-5.0,0.5,-1.8181818181818181,-50.0,0.0,-8.181818181818182,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
9,29.99697890827406,26.96465915896581,20.15232216398772,-0.1,-0.1,-0.1,0.5,-45.19047619047619,-50.0,0.0,-4.761904761904762,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
10,30.73366791501371,28.030894041010946,25.664655190531676,-0.1,-0.1,-0.1,0.5,-47.70454545454545,-50.0,0.0,-4.545454545454546,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
