#{"t_start": 1776005731.4477828, "env_id": "None"}
r,l,t
-136754.834714,10800,8.722448
-373121.619197,10800,16.319251
-14124.034718,10800,24.105126
-8892.790773,10800,32.302862
-3355.764089,10800,39.961908
-1857.19161,10800,47.450922
-1622.693522,10800,55.104832
-623505.212678,10800,63.55001
-502024.401003,10800,71.022185
-829139.855643,10800,78.679518
-1076867.576079,10800,87.034473
-544267.872981,10800,94.689322
-761677.084764,10800,102.267184
-853547.577423,10800,109.824322
-417496.746007,10800,118.157895
-473838.600179,10800,125.72543
-6670.255412,10800,133.32708
-1360.042869,10800,141.068167
-1276.381521,10800,149.310832
-1278.730442,10800,156.952017
-1281.540795,10800,164.498655
-1437.189513,10800,172.738259
-1583.454677,10800,180.339017
-1771.689723,10800,187.880224
-1588.976647,10800,195.553935
-1327.956182,10800,203.918927
-1262.014012,10800,211.470387
-1276.481105,10800,218.885245
-1253.792218,10800,226.60514
-1252.575897,10800,234.94176
-1252.180929,10800,242.509603
-4459.065289,10800,250.252481
-2041.912349,10800,258.637317
-3980.299169,10800,266.189171
-1102.945332,10800,273.81875
-1182.905412,10800,281.495584
-1089.6111,10800,289.668789
-1116.294672,10800,297.2398
-1138.442161,10800,304.905815
-1238.580473,10800,312.747778
-1168.035056,10800,321.209336
-1218.634769,10800,328.791331
-1159.418315,10800,336.566936
-1217.860731,10800,344.89732
-1191.85006,10800,352.472342
-1087.288274,10800,360.13099
-1161.775968,10800,367.824292
-1118.462015,10800,376.2723
-729.147233,10800,383.94061
-1017.452078,10800,391.501445
-881.558294,10800,399.091861
-1284367.219987,3330,401.89301
-1282592.175135,3249,404.594315
-1283208.463295,3272,406.588897
-1284856.919416,3296,409.361396
-1280639.237093,3209,411.357447
-1281898.589239,3255,414.095301
-1280002.642481,3165,416.864101
-1281432.051174,3233,418.858871
-1283887.076805,3292,421.641636
-1282856.935783,3240,423.689953
-1282072.17451,3245,426.52353
-1283304.119242,3261,429.124516
-1283581.413284,3234,431.169686
-1281518.547854,3175,433.87186
-1284900.925099,3237,435.881499
-1279648.772603,3115,438.615322
-1281097.776673,3135,440.472714
-1286098.08382,3238,443.270526
-1284678.33516,3254,445.2128
-1285281.080956,3237,447.96427
-1284494.505571,3251,450.728677
-1285031.323752,3279,452.730206
-1284399.935919,3299,455.446943
-1287497.809993,3438,458.28683
-1285990.302486,3396,460.342513
-1287197.380731,3408,463.093947
-1287930.120097,3445,465.842164
-1287241.634688,3447,468.02487
-1289814.496306,3491,470.787671
-1291429.760528,3530,473.650956
-1291200.263635,3620,475.767913
-1291213.915386,3702,478.706802
-1288144.073046,3524,481.564989
-1287311.745207,3455,484.42205
-1290350.699321,3621,486.541961
-1287170.318433,3623,489.362972
-1289385.998795,3601,492.270499
-1286555.08795,3463,495.061111
-1288290.010008,3418,497.139091
-1291926.952716,3457,499.91088
-1293002.370367,3474,502.654065
-1291316.632201,3342,504.663343
-1291521.576566,3412,507.429753
-1289832.041174,3396,510.165007
-1289841.418357,3460,512.201518
-1293101.589293,3600,514.956984
-1292291.476014,3693,517.837799
-1292858.753586,3751,520.758146
-1293837.273737,3764,523.526101
-1292980.822838,3743,525.706207
-1292808.115948,3908,528.657469
-1293776.978393,4086,531.647981
-1300021.055868,4373,534.710652
-1288800.174439,4322,537.829033
-1294912.699834,4522,541.732154
-1296860.000075,4452,544.900419
-1303194.251283,4619,548.124974
-1296779.650577,4643,551.38226
-1292576.10063,4465,555.258749
-1297724.743095,4705,558.599734
-1297777.153512,4474,561.793968
-1298951.974618,4556,564.980629
-1304255.007244,4837,568.988683
-1302948.653917,5176,572.390893
-1298085.273676,5197,576.659173
-1307804.525305,5266,580.112658
-219704.484388,10800,588.536042
-1296516.391088,5266,592.01372
-181433.766019,10800,599.589046
-1290712.13052,5058,603.774222
-158193.952524,10800,611.352689
-166623.075853,10800,619.054158
-41286.717795,10800,627.56974
-15427.980638,10800,635.060974
-22593.063084,10800,642.576304
-327.141486,10800,650.92438
-1128.585933,10800,658.745478
-1099.18299,10800,666.533169
-1194.004904,10800,674.186861
-1090.96949,10800,682.703228
-1097.377133,10800,690.334919
-1117.371634,10800,697.816058
-1388.758288,10800,705.42693
-1076.801675,10800,713.835367
-1131.196087,10800,721.338698
-1125.745776,10800,729.00952
